Year,CountryCode,Population
2003,ALB,3039616
2004,ALB,3026939
2005,ALB,3011487
2006,ALB,2992547
2007,ALB,2970017
2008,ALB,2947314
2009,ALB,2927519
2010,ALB,2913021
2011,ALB,2905195
2012,ALB,2900401
2013,ALB,2895092
1960,AND,9443
1961,AND,10216
1962,AND,11014
1963,AND,11839
1964,AND,12690
1965,AND,13563
1966,AND,14546
1967,AND,15745
1968,AND,17079
1969,AND,18449
1970,AND,19860
1971,AND,21322
1972,AND,22832
1973,AND,24393
1974,AND,26003
1975,AND,27640
1976,AND,29294
1977,AND,30949
1978,AND,32574
1979,AND,34142
1980,AND,35611
1981,AND,36987
1982,AND,38598
1983,AND,40432
1984,AND,42181
1985,AND,43809
1986,AND,45605
1987,AND,47635
1988,AND,49654
1989,AND,51639
1990,AND,53569
1991,AND,55434
1992,AND,57283
1993,AND,59156
1994,AND,61037
1995,AND,62928
1996,AND,64147
1997,AND,64682
1998,AND,65186
1999,AND,65655
2000,AND,66097
2001,AND,67820
2002,AND,70849
2003,AND,73907
2004,AND,76933
2005,AND,79826
2006,AND,80221
2007,AND,78168
2008,AND,76055
2009,AND,73852
2010,AND,71519
2011,AND,70567
2012,AND,71013
2013,AND,71367
1960,ARE,133426
1961,ARE,140984
1962,ARE,148877
1963,ARE,157006
1964,ARE,165305
1965,ARE,173797
1966,ARE,182509
1967,ARE,191404
1968,ARE,213582
1969,ARE,253261
1970,ARE,298084
1971,ARE,344513
1972,ARE,392368
1973,ARE,441546
1974,ARE,491955
1975,ARE,543394
1976,ARE,614177
1977,ARE,706861
1978,ARE,805231
1979,ARE,908452
1980,ARE,1014048
1981,ARE,1100180
1982,ARE,1167856
1983,ARE,1237572
1984,ARE,1308331
1985,ARE,1379536
1986,ARE,1468697
1987,ARE,1575909
1988,ARE,1683681
1989,ARE,1791840
1990,ARE,1900151
1991,ARE,2008383
1992,ARE,2116231
1993,ARE,2223284
1994,ARE,2329024
1995,ARE,2433988
1996,ARE,2572735
1997,ARE,2746119
1998,ARE,2921130
1999,ARE,3097563
2000,ARE,3275333
2001,ARE,3454198
2002,ARE,3633655
2003,ARE,3813443
2004,ARE,3993339
2005,ARE,4280993
2006,ARE,4898954
2007,ARE,5872624
2008,ARE,6988685
2009,ARE,7992644
2010,ARE,8481771
2011,ARE,8575205
2012,ARE,8664969
2013,ARE,8751847
1960,ARG,20349744
1961,ARG,20680653
1962,ARG,21020359
1963,ARG,21364017
1964,ARG,21708487
1965,ARG,22053661
1966,ARG,22403116
1967,ARG,22757014
1968,ARG,23112971
1969,ARG,23472028
1970,ARG,23842803
1971,ARG,24223379
1972,ARG,24612794
1973,ARG,25020588
1974,ARG,25449754
1975,ARG,25875558
1976,ARG,26290257
1977,ARG,26713780
1978,ARG,27146121
1979,ARG,27584134
1980,ARG,28024803
1981,ARG,28471285
1982,ARG,28922762
1983,ARG,29377137
1984,ARG,29832197
1985,ARG,30287112
1986,ARG,30748326
1987,ARG,31216453
1988,ARG,31690792
1989,ARG,32165766
1990,ARG,32637657
1991,ARG,33105763
1992,ARG,33568285
1993,ARG,34027240
1994,ARG,34488696
1995,ARG,34946110
1996,ARG,35389362
1997,ARG,35815971
1998,ARG,36233195
1999,ARG,36653031
2000,ARG,37070774
2001,ARG,37480493
2002,ARG,37885028
2003,ARG,38278164
2004,ARG,38668796
2005,ARG,39070501
2006,ARG,39476851
2007,ARG,39876111
2008,ARG,40273769
2009,ARG,40684338
2010,ARG,40788453
2011,ARG,41261490
2012,ARG,41733271
2013,ARG,42202935
1960,ARM,1904148
1961,ARM,1971530
1962,ARM,2039346
1963,ARM,2106142
1964,ARM,2171029
1965,ARM,2234051
1966,ARM,2295496
1967,ARM,2355997
1968,ARM,2416461
1969,ARM,2476359
1970,ARM,2534377
1971,ARM,2590923
1972,ARM,2648048
1973,ARM,2706852
1974,ARM,2767646
1975,ARM,2830798
1976,ARM,2896311
1977,ARM,2965523
1978,ARM,3038224
1979,ARM,3097058
1980,ARM,3135123
1981,ARM,3167876
1982,ARM,3202011
1983,ARM,3238291
1984,ARM,3272102
1985,ARM,3300896
1986,ARM,3327182
1987,ARM,3351364
1988,ARM,3366838
1989,ARM,3448186
1990,ARM,3556539
1991,ARM,3617631
1992,ARM,3574555
1993,ARM,3457349
1994,ARM,3373713
1995,ARM,3322782
1996,ARM,3298898
1997,ARM,3271418
1998,ARM,3240550
1999,ARM,3206030
2000,ARM,3168523
2001,ARM,3133133
2002,ARM,3105037
2003,ARM,3084102
2004,ARM,3065745
2005,ARM,3047246
2006,ARM,3026486
2007,ARM,3004393
2008,ARM,2983421
2009,ARM,2964296
2010,ARM,2946293
2011,ARM,2928976
2012,ARM,2914421
2013,ARM,2901385
1960,ASM,20085
1961,ASM,20626
1962,ASM,21272
1963,ASM,21949
1964,ASM,22656
1965,ASM,23391
1966,ASM,24122
1967,ASM,24848
1968,ASM,25608
1969,ASM,26396
1970,ASM,27075
1971,ASM,27593
1972,ASM,28063
1973,ASM,28529
1974,ASM,29012
1975,ASM,29573
1976,ASM,30198
1977,ASM,30816
1978,ASM,31428
1979,ASM,32045
1980,ASM,32886
1981,ASM,34059
1982,ASM,35367
1983,ASM,36735
1984,ASM,38168
1985,ASM,39663
1986,ASM,41221
1987,ASM,42842
1988,ASM,44532
1989,ASM,46288
1990,ASM,47818
1991,ASM,48992
1992,ASM,50078
1993,ASM,51174
1994,ASM,52288
1995,ASM,53401
1996,ASM,54500
1997,ASM,55578
1998,ASM,56603
1999,ASM,57594
2000,ASM,58230
2001,ASM,58324
2002,ASM,58177
2003,ASM,57941
2004,ASM,57626
2005,ASM,57254
2006,ASM,56837
2007,ASM,56383
2008,ASM,55891
2009,ASM,55366
2010,ASM,54849
2011,ASM,54310
2012,ASM,53691
2013,ASM,52995
1960,ATG,55342
1961,ATG,56245
1962,ATG,57008
1963,ATG,57778
1964,ATG,58664
1965,ATG,59644
1966,ATG,60615
1967,ATG,61617
1968,ATG,62658
1969,ATG,63742
1970,ATG,64517
1971,ATG,64769
1972,ATG,64695
1973,ATG,64463
1974,ATG,64218
1975,ATG,64035
1976,ATG,63990
1977,ATG,64117
1978,ATG,64329
1979,ATG,64609
1980,ATG,64889
1981,ATG,65076
1982,ATG,65231
1983,ATG,65408
1984,ATG,65362
1985,ATG,65048
1986,ATG,64712
1987,ATG,64353
1988,ATG,63982
1989,ATG,63636
1990,ATG,63328
1991,ATG,63634
1992,ATG,64659
1993,ATG,65834
1994,ATG,67072
1995,ATG,68398
1996,ATG,69798
1997,ATG,71218
1998,ATG,72572
1999,ATG,73821
2000,ATG,75055
2001,ATG,76215
2002,ATG,77195
2003,ATG,78075
2004,ATG,78941
2005,ATG,79869
2006,ATG,80895
2007,ATG,82016
2008,ATG,83251
2009,ATG,84534
2010,ATG,85695
2011,ATG,86729
2012,ATG,87674
2013,ATG,88497
1960,AUS,10276477
1961,AUS,10483000
1962,AUS,10742000
1963,AUS,10950000
1964,AUS,11167000
1965,AUS,11388000
1966,AUS,11651000
1967,AUS,11799000
1968,AUS,12009000
1969,AUS,12263000
1970,AUS,12507000
1971,AUS,12937000
1972,AUS,13177000
1973,AUS,13380000
1974,AUS,13723000
1975,AUS,13893000
1976,AUS,14033000
1977,AUS,14192000
1978,AUS,14358000
1979,AUS,14514000
1980,AUS,14692000
1981,AUS,14923260
1982,AUS,15184247
1983,AUS,15393472
1984,AUS,15579391
1985,AUS,15788312
1986,AUS,16018350
1987,AUS,16263874
1988,AUS,16532164
1989,AUS,16814416
1990,AUS,17065128
1991,AUS,17284036
1992,AUS,17478635
1993,AUS,17634808
1994,AUS,17805468
1995,AUS,18004882
1996,AUS,18224767
1997,AUS,18423037
1998,AUS,18607584
1999,AUS,18812264
2000,AUS,19028802
2001,AUS,19274701
2002,AUS,19495210
2003,AUS,19720737
2004,AUS,19932722
2005,AUS,20176844
2006,AUS,20450966
2007,AUS,20827622
2008,AUS,21249199
2009,AUS,21691653
2010,AUS,22031750
2011,AUS,22340024
2012,AUS,22733465
2013,AUS,23128129
1960,AUT,7047539
1961,AUT,7086299
1962,AUT,7129864
1963,AUT,7175811
1964,AUT,7223801
1965,AUT,7270889
1966,AUT,7322066
1967,AUT,7376998
1968,AUT,7415403
1969,AUT,7441055
1970,AUT,7467086
1971,AUT,7500482
1972,AUT,7544201
1973,AUT,7586115
1974,AUT,7599038
1975,AUT,7578903
1976,AUT,7565525
1977,AUT,7568430
1978,AUT,7562305
1979,AUT,7549425
1980,AUT,7549433
1981,AUT,7568710
1982,AUT,7574140
1983,AUT,7561910
1984,AUT,7561434
1985,AUT,7564985
1986,AUT,7569794
1987,AUT,7574586
1988,AUT,7585317
1989,AUT,7619567
1990,AUT,7677850
1991,AUT,7754891
1992,AUT,7840709
1993,AUT,7905633
1994,AUT,7936118
1995,AUT,7948278
1996,AUT,7959017
1997,AUT,7968041
1998,AUT,7976789
1999,AUT,7992324
2000,AUT,8011566
2001,AUT,8042293
2002,AUT,8081957
2003,AUT,8121423
2004,AUT,8171966
2005,AUT,8227829
2006,AUT,8268641
2007,AUT,8295487
2008,AUT,8321496
2009,AUT,8343323
2010,AUT,8363404
2011,AUT,8391643
2012,AUT,8429991
2013,AUT,8479823
1960,AZE,3894500
1961,AZE,4045750
1962,AZE,4168150
1963,AZE,4293550
1964,AZE,4439250
1965,AZE,4574650
1966,AZE,4708150
1967,AZE,4832000
1968,AZE,4948500
1969,AZE,5063300
1970,AZE,5172050
1971,AZE,5282950
1972,AZE,5391450
1973,AZE,5493900
1974,AZE,5594100
1975,AZE,5689050
1976,AZE,5781000
1977,AZE,5876150
1978,AZE,5976150
1979,AZE,6071300
1980,AZE,6160500
1981,AZE,6257750
1982,AZE,6357550
1983,AZE,6459800
1984,AZE,6567850
1985,AZE,6670150
1986,AZE,6770300
1987,AZE,6875350
1988,AZE,6974600
1989,AZE,7076550
1990,AZE,7175200
1991,AZE,7271300
1992,AZE,7382050
1993,AZE,7494800
1994,AZE,7596550
1995,AZE,7684850
1996,AZE,7763000
1997,AZE,7838250
1998,AZE,7913000
1999,AZE,7982750
2000,AZE,8048600
2001,AZE,8111200
2002,AZE,8171950
2003,AZE,8234100
2004,AZE,8306500
2005,AZE,8391850
2006,AZE,8484550
2007,AZE,8581300
2008,AZE,8763400
2009,AZE,8947243
2010,AZE,9054332
2011,AZE,9173082
2012,AZE,9295784
2013,AZE,9416801
1960,BDI,2746628
1961,BDI,2815972
1962,BDI,2887398
1963,BDI,2948133
1964,BDI,3033221
1965,BDI,3118134
1966,BDI,3193378
1967,BDI,3274493
1968,BDI,3352397
1969,BDI,3424429
1970,BDI,3497834
1971,BDI,3582070
1972,BDI,3579195
1973,BDI,3571450
1974,BDI,3660032
1975,BDI,3749232
1976,BDI,3830889
1977,BDI,3927428
1978,BDI,4039410
1979,BDI,4137437
1980,BDI,4312834
1981,BDI,4490743
1982,BDI,4602271
1983,BDI,4726506
1984,BDI,4842268
1985,BDI,4948024
1986,BDI,5041706
1987,BDI,5157769
1988,BDI,5271840
1989,BDI,5373697
1990,BDI,5483793
1991,BDI,5594828
1992,BDI,5743085
1993,BDI,5555220
1994,BDI,5586408
1995,BDI,5932783
1996,BDI,5930507
1997,BDI,5923862
1998,BDI,6035340
1999,BDI,6180180
2000,BDI,6307659
2001,BDI,6465729
2002,BDI,6648938
2003,BDI,6860846
2004,BDI,7120496
2005,BDI,7388874
2006,BDI,7658190
2007,BDI,7944609
2008,BDI,8278109
2009,BDI,8709366
2010,BDI,9126605
2011,BDI,9455733
2012,BDI,9795479
2013,BDI,10149577
1960,BEL,9153489
1961,BEL,9183948
1962,BEL,9220578
1963,BEL,9289770
1964,BEL,9378113
1965,BEL,9463667
1966,BEL,9527807
1967,BEL,9580991
1968,BEL,9618756
1969,BEL,9646032
1970,BEL,9655549
1971,BEL,9673162
1972,BEL,9711115
1973,BEL,9741720
1974,BEL,9772419
1975,BEL,9800700
1976,BEL,9818227
1977,BEL,9830358
1978,BEL,9839534
1979,BEL,9848382
1980,BEL,9859242
1981,BEL,9858982
1982,BEL,9856303
1983,BEL,9855520
1984,BEL,9855372
1985,BEL,9858308
1986,BEL,9861823
1987,BEL,9870234
1988,BEL,9901664
1989,BEL,9937697
1990,BEL,9967379
1991,BEL,10004486
1992,BEL,10045158
1993,BEL,10084475
1994,BEL,10115603
1995,BEL,10136811
1996,BEL,10156637
1997,BEL,10181245
1998,BEL,10203008
1999,BEL,10226419
2000,BEL,10251250
2001,BEL,10286570
2002,BEL,10332785
2003,BEL,10376133
2004,BEL,10421137
2005,BEL,10478617
2006,BEL,10547958
2007,BEL,10625700
2008,BEL,10709973
2009,BEL,10796493
2010,BEL,10895586
2011,BEL,11038264
2012,BEL,11106932
2013,BEL,11159407
1960,BEN,2512284
1961,BEN,2551216
1962,BEN,2593302
1963,BEN,2638082
1964,BEN,2685619
1965,BEN,2735843
1966,BEN,2788642
1967,BEN,2843739
1968,BEN,2901218
1969,BEN,2961166
1970,BEN,3023443
1971,BEN,3088381
1972,BEN,3156408
1973,BEN,3227380
1974,BEN,3301276
1975,BEN,3378703
1976,BEN,3460329
1977,BEN,3546454
1978,BEN,3636927
1979,BEN,3732394
1980,BEN,3833939
1981,BEN,3941569
1982,BEN,4054385
1983,BEN,4171526
1984,BEN,4293070
1985,BEN,4419552
1986,BEN,4551382
1987,BEN,4688787
1988,BEN,4831624
1989,BEN,4979680
1990,BEN,5133419
1991,BEN,5293046
1992,BEN,5457778
1993,BEN,5706181
1994,BEN,5923394
1995,BEN,6046511
1996,BEN,6203860
1997,BEN,6387026
1998,BEN,6584183
1999,BEN,6788589
2000,BEN,6998023
2001,BEN,7212041
2002,BEN,7431783
2003,BEN,7659208
2004,BEN,7894554
2005,BEN,8149419
2006,BEN,8402631
2007,BEN,8647761
2008,BEN,8906469
2009,BEN,9172514
2010,BEN,9445710
2011,BEN,9726380
2012,BEN,10014078
2013,BEN,10308730
1960,BFA,4783259
1961,BFA,4852833
1962,BFA,4924497
1963,BFA,4998671
1964,BFA,5076111
1965,BFA,5157929
1966,BFA,5242797
1967,BFA,5330613
1968,BFA,5422119
1969,BFA,5515747
1970,BFA,5611666
1971,BFA,5707793
1972,BFA,5805283
1973,BFA,5907742
1974,BFA,6018141
1975,BFA,6138444
1976,BFA,6269765
1977,BFA,6416569
1978,BFA,6577779
1979,BFA,6749939
1980,BFA,6932967
1981,BFA,7123730
1982,BFA,7321817
1983,BFA,7531184
1984,BFA,7751476
1985,BFA,7979185
1986,BFA,8207827
1987,BFA,8434996
1988,BFA,8663720
1989,BFA,8895234
1990,BFA,9131361
1991,BFA,9365064
1992,BFA,9598555
1993,BFA,9840075
1994,BFA,10091256
1995,BFA,10353263
1996,BFA,10621210
1997,BFA,10897353
1998,BFA,11201063
1999,BFA,11533554
2000,BFA,11882888
2001,BFA,12249764
2002,BFA,12632269
2003,BFA,13030591
2004,BFA,13445977
2005,BFA,13876127
2006,BFA,14316242
2007,BFA,14757074
2008,BFA,15197915
2009,BFA,15650022
2010,BFA,16116845
2011,BFA,16602651
2012,BFA,17113732
2013,BFA,17636408
1960,BGD,50396429
1961,BGD,51882769
1962,BGD,53461661
1963,BGD,55094115
1964,BGD,56774465
1965,BGD,58500159
1966,BGD,60265259
1967,BGD,62104488
1968,BGD,63995652
1969,BGD,65866908
1970,BGD,67541860
1971,BGD,68376204
1972,BGD,69346705
1973,BGD,71144818
1974,BGD,72947807
1975,BGD,74700345
1976,BGD,76380080
1977,BGD,78137788
1978,BGD,80007550
1979,BGD,81908151
1980,BGD,83929765
1981,BGD,86154836
1982,BGD,88555336
1983,BGD,91045478
1984,BGD,93534239
1985,BGD,95959099
1986,BGD,98271746
1987,BGD,100490256
1988,BGD,102688833
1989,BGD,104893674
1990,BGD,107147651
1991,BGD,109242834
1992,BGD,111272102
1993,BGD,113418757
1994,BGD,115614891
1995,BGD,117793338
1996,BGD,119876868
1997,BGD,122039226
1998,BGD,124350471
1999,BGD,126754824
2000,BGD,129193327
2001,BGD,131670484
2002,BGD,134139826
2003,BGD,136503206
2004,BGD,138789725
2005,BGD,140912590
2006,BGD,142628831
2007,BGD,144135934
2008,BGD,145421318
2009,BGD,146706810
2010,BGD,148391139
2011,BGD,150211005
2012,BGD,152090649
2013,BGD,154030139
1960,BGR,7867374
1961,BGR,7943118
1962,BGR,8012946
1963,BGR,8078145
1964,BGR,8144340
1965,BGR,8204168
1966,BGR,8258057
1967,BGR,8310226
1968,BGR,8369603
1969,BGR,8434172
1970,BGR,8489574
1971,BGR,8536395
1972,BGR,8576200
1973,BGR,8620967
1974,BGR,8678745
1975,BGR,8720742
1976,BGR,8758599
1977,BGR,8804183
1978,BGR,8814032
1979,BGR,8825940
1980,BGR,8861535
1981,BGR,8891117
1982,BGR,8917457
1983,BGR,8939738
1984,BGR,8960679
1985,BGR,8960547
1986,BGR,8958171
1987,BGR,8971359
1988,BGR,8981446
1989,BGR,8876972
1990,BGR,8718289
1991,BGR,8632367
1992,BGR,8540164
1993,BGR,8472313
1994,BGR,8443591
1995,BGR,8406067
1996,BGR,8362826
1997,BGR,8312068
1998,BGR,8256786
1999,BGR,8210624
2000,BGR,8170172
2001,BGR,8009142
2002,BGR,7837161
2003,BGR,7775327
2004,BGR,7716860
2005,BGR,7658972
2006,BGR,7601022
2007,BGR,7545338
2008,BGR,7492561
2009,BGR,7444443
2010,BGR,7395599
2011,BGR,7348328
2012,BGR,7305888
2013,BGR,7265115
1960,BHR,160691
1961,BHR,166970
1962,BHR,173359
1963,BHR,179891
1964,BHR,186587
1965,BHR,193012
1966,BHR,199019
1967,BHR,204916
1968,BHR,210801
1969,BHR,216696
1970,BHR,222555
1971,BHR,230992
1972,BHR,243143
1973,BHR,256632
1974,BHR,270627
1975,BHR,285116
1976,BHR,300044
1977,BHR,315337
1978,BHR,330912
1979,BHR,346697
1980,BHR,362595
1981,BHR,377430
1982,BHR,391017
1983,BHR,404772
1984,BHR,419217
1985,BHR,434375
1986,BHR,450196
1987,BHR,466565
1988,BHR,483337
1989,BHR,500349
1990,BHR,517418
1991,BHR,535415
1992,BHR,554470
1993,BHR,573755
1994,BHR,593254
1995,BHR,612934
1996,BHR,632756
1997,BHR,652643
1998,BHR,672484
1999,BHR,692133
2000,BHR,711442
2001,BHR,730257
2002,BHR,748324
2003,BHR,778256
2004,BHR,833451
2005,BHR,901921
2006,BHR,970981
2007,BHR,1040532
2008,BHR,1110343
2009,BHR,1179453
2010,BHR,1213645
2011,BHR,1212077
2012,BHR,1224939
2013,BHR,1261673
1960,BHS,114500
1961,BHS,120216
1962,BHS,126305
1963,BHS,132639
1964,BHS,138785
1965,BHS,144849
1966,BHS,151323
1967,BHS,158197
1968,BHS,165456
1969,BHS,172745
1970,BHS,179129
1971,BHS,184435
1972,BHS,189181
1973,BHS,193563
1974,BHS,197767
1975,BHS,201881
1976,BHS,206096
1977,BHS,210534
1978,BHS,215016
1979,BHS,219426
1980,BHS,223752
1981,BHS,227956
1982,BHS,232177
1983,BHS,236586
1984,BHS,241166
1985,BHS,245935
1986,BHS,250804
1987,BHS,255618
1988,BHS,260452
1989,BHS,265493
1990,BHS,270679
1991,BHS,276058
1992,BHS,281973
1993,BHS,288164
1994,BHS,293997
1995,BHS,299554
1996,BHS,304933
1997,BHS,310171
1998,BHS,315398
1999,BHS,320272
2000,BHS,325014
2001,BHS,329626
2002,BHS,334002
2003,BHS,338490
2004,BHS,343089
2005,BHS,347804
2006,BHS,352664
2007,BHS,357666
2008,BHS,362795
2009,BHS,368057
2010,BHS,373272
2011,BHS,377950
2012,BHS,382061
2013,BHS,385650
1960,BIH,3262539
1961,BIH,3325333
1962,BIH,3387512
1963,BIH,3448532
1964,BIH,3507959
1965,BIH,3565517
1966,BIH,3620849
1967,BIH,3673367
1968,BIH,3723067
1969,BIH,3770376
1970,BIH,3815561
1971,BIH,3859242
1972,BIH,3901895
1973,BIH,3943152
1974,BIH,3983063
1975,BIH,4022090
1976,BIH,4060039
1977,BIH,4096516
1978,BIH,4131521
1979,BIH,4165511
1980,BIH,4199820
1981,BIH,4235970
1982,BIH,4274013
1983,BIH,4312521
1984,BIH,4349597
1985,BIH,4383306
1986,BIH,4413374
1987,BIH,4440300
1988,BIH,4463320
1989,BIH,4481230
1990,BIH,4494310
1991,BIH,4502386
1992,BIH,4275730
1993,BIH,3942981
1994,BIH,3762330
1995,BIH,3750527
1996,BIH,3907751
1997,BIH,4047748
1998,BIH,4115059
1999,BIH,4153014
2000,BIH,4179350
2001,BIH,4194932
2002,BIH,4198410
2003,BIH,4183757
2004,BIH,4142860
2005,BIH,4094297
2006,BIH,4058086
2007,BIH,4007876
2008,BIH,3943392
2009,BIH,3877750
2010,BIH,3811088
2011,BIH,3743142
2012,BIH,3674374
2013,BIH,3617559
1960,BLR,8198000
1961,BLR,8271216
1962,BLR,8351928
1963,BLR,8437232
1964,BLR,8524224
1965,BLR,8610000
1966,BLR,8696496
1967,BLR,8785648
1968,BLR,8874552
1969,BLR,8960304
1970,BLR,9040000
1971,BLR,9115576
1972,BLR,9188968
1973,BLR,9257272
1974,BLR,9317584
1975,BLR,9367000
1976,BLR,9411000
1977,BLR,9463000
1978,BLR,9525000
1979,BLR,9584000
1980,BLR,9643000
1981,BLR,9710000
1982,BLR,9776000
1983,BLR,9843000
1984,BLR,9910000
1985,BLR,9975000
1986,BLR,10043000
1987,BLR,10111000
1988,BLR,10140000
1989,BLR,10170000
1990,BLR,10189348
1991,BLR,10194050
1992,BLR,10216470
1993,BLR,10239050
1994,BLR,10226955
1995,BLR,10193831
1996,BLR,10159569
1997,BLR,10117433
1998,BLR,10071963
1999,BLR,10026738
2000,BLR,9979610
2001,BLR,9928549
2002,BLR,9865548
2003,BLR,9796749
2004,BLR,9730146
2005,BLR,9663915
2006,BLR,9604924
2007,BLR,9560953
2008,BLR,9527985
2009,BLR,9504583
2010,BLR,9483836
2011,BLR,9461643
2012,BLR,9446836
2013,BLR,9443211
1960,BLZ,91403
1961,BLZ,93757
1962,BLZ,96188
1963,BLZ,98862
1964,BLZ,101772
1965,BLZ,104838
1966,BLZ,108062
1967,BLZ,111411
1968,BLZ,114825
1969,BLZ,118145
1970,BLZ,120905
1971,BLZ,123091
1972,BLZ,125054
1973,BLZ,126875
1974,BLZ,128620
1975,BLZ,130801
1976,BLZ,133471
1977,BLZ,136183
1978,BLZ,138933
1979,BLZ,141823
1980,BLZ,145133
1981,BLZ,148764
1982,BLZ,152409
1983,BLZ,156053
1984,BLZ,159721
1985,BLZ,163436
1986,BLZ,167191
1987,BLZ,170980
1988,BLZ,174817
1989,BLZ,178695
1990,BLZ,182589
1991,BLZ,186462
1992,BLZ,190299
1993,BLZ,194177
1994,BLZ,198416
1995,BLZ,203556
1996,BLZ,209840
1997,BLZ,217117
1998,BLZ,224907
1999,BLZ,232733
2000,BLZ,240406
2001,BLZ,248100
2002,BLZ,255987
2003,BLZ,263998
2004,BLZ,272128
2005,BLZ,280375
2006,BLZ,288729
2007,BLZ,297173
2008,BLZ,305671
2009,BLZ,314171
2010,BLZ,322106
2011,BLZ,329538
2012,BLZ,337059
2013,BLZ,344688
1960,BOL,3707515
1961,BOL,3784744
1962,BOL,3864140
1963,BOL,3945729
1964,BOL,4029472
1965,BOL,4115511
1966,BOL,4204065
1967,BOL,4295269
1968,BOL,4389249
1969,BOL,4486098
